BEDS CODE,LEA/ENTITY NAME,COUNTY,LEA TYPE,TOTAL Students Identified as Homeless 2015-16
3.101E+11,NYC GEOG DIST # 1 - MANHATTAN,NEW YORK,NYC,1454
3.102E+11,NYC GEOG DIST # 2 - MANHATTAN,NEW YORK,NYC,4317
3.103E+11,NYC GEOG DIST # 3 - MANHATTAN,NEW YORK,NYC,1885
3.104E+11,NYC GEOG DIST # 4 - MANHATTAN,NEW YORK,NYC,2167
3.105E+11,NYC GEOG DIST # 5 - MANHATTAN,NEW YORK,NYC,2441
3.106E+11,NYC GEOG DIST # 6 - MANHATTAN,NEW YORK,NYC,3956
3.207E+11,NYC GEOG DIST # 7 - BRONX,BRONX,NYC,3703
3.208E+11,NYC GEOG DIST # 8 - BRONX,BRONX,NYC,4577
3.209E+11,NYC GEOG DIST # 9 - BRONX,BRONX,NYC,8438
3.21E+11,NYC GEOG DIST #10 - BRONX,BRONX,NYC,10538
3.211E+11,NYC GEOG DIST #11 - BRONX,BRONX,NYC,4813
3.212E+11,NYC GEOG DIST #12 - BRONX,BRONX,NYC,4783
3.313E+11,NYC GEOG DIST #13 - BROOKLYN,KINGS,NYC,1593
3.314E+11,NYC GEOG DIST #14 - BROOKLYN,KINGS,NYC,1669
3.315E+11,NYC GEOG DIST #15 - BROOKLYN,KINGS,NYC,1638
3.316E+11,NYC GEOG DIST #16 - BROOKLYN,KINGS,NYC,1383
3.317E+11,NYC GEOG DIST #17 - BROOKLYN,KINGS,NYC,3370
3.318E+11,NYC GEOG DIST #18 - BROOKLYN,KINGS,NYC,1600
3.319E+11,NYC GEOG DIST #19 - BROOKLYN,KINGS,NYC,3780
3.32E+11,NYC GEOG DIST #20 - BROOKLYN,KINGS,NYC,2976
3.321E+11,NYC GEOG DIST #21 - BROOKLYN,KINGS,NYC,2041
3.322E+11,NYC GEOG DIST #22 - BROOKLYN,KINGS,NYC,2634
3.323E+11,NYC GEOG DIST #23 - BROOKLYN,KINGS,NYC,1969
3.332E+11,NYC GEOG DIST #32 - BROOKLYN,KINGS,NYC,1759
3.424E+11,NYC GEOG DIST #24 - QUEENS,QUEENS,NYC,3709
3.425E+11,NYC GEOG DIST #25 - QUEENS,QUEENS,NYC,1713
3.426E+11,NYC GEOG DIST #26 - QUEENS,QUEENS,NYC,819
3.427E+11,NYC GEOG DIST #27 - QUEENS,QUEENS,NYC,2870
3.428E+11,NYC GEOG DIST #28 - QUEENS,QUEENS,NYC,2354
3.429E+11,NYC GEOG DIST #29 - QUEENS,QUEENS,NYC,2545
3.43E+11,NYC GEOG DIST #30 - QUEENS,QUEENS,NYC,2842
3.531E+11,NYC GEOG DIST #31 - STATEN ISLAND,RICHMOND,NYC,2860